LOINC_NUM,antigen,system.serum,LONG_COMMON_NAME
10490-1,NA,0,IgE Ag [Presence] in Tissue by Immune stain
10724-3,Toxoplasma gondii,1,Toxoplasma gondii IgE Ab [Units/volume] in Serum by Immunoassay
10919-9,Anisakis,1,Anisakis IgE Ab [Units/volume] in Serum
10920-7,Bamboo shoot,1,Bamboo shoot IgE Ab [Units/volume] in Serum
10921-5,Blomia tropicalis,1,Blomia tropicalis IgE Ab [Units/volume] in Serum
10922-3,Bovine serum albumin (BSA),1,Bovine serum albumin (BSA) IgE Ab [Units/volume] in Serum
10923-1,Bromelin,1,Bromelin IgE Ab [Units/volume] in Serum
10924-9,Starfruit,1,Starfruit IgE Ab [Units/volume] in Serum
10925-6,Chub Mackerel,1,Chub Mackerel IgE Ab [Units/volume] in Serum
10926-4,Deer epithelium,1,Deer epithelium IgE Ab [Units/volume] in Serum
10927-2,Elk or Moose Meat,1,Elk or Moose Meat IgE Ab [Units/volume] in Serum
10928-0,Fennel Fresh,1,Fennel Fresh IgE Ab [Units/volume] in Serum
10929-8,Fennel Seed,1,Fennel Seed IgE Ab [Units/volume] in Serum
10930-6,Fish Feed,1,Fish Feed IgE Ab [Units/volume] in Serum
10931-4,Daphnia (fish feed),1,Daphnia (fish feed) IgE Ab [Units/volume] in Serum
10932-2,Tetramin,1,Tetramin IgE Ab [Units/volume] in Serum
10933-0,Guar gum,1,Guar gum IgE Ab [Units/volume] in Serum
10934-8,Guava,1,Guava IgE Ab [Units/volume] in Serum
10935-5,Horse serum proteins,1,Horse serum proteins IgE Ab [Units/volume] in Serum
10936-3,Mare milk,1,Mare milk IgE Ab [Units/volume] in Serum
10937-1,Marjoram,1,Marjoram IgE Ab [Units/volume] in Serum
10938-9,Mediterranean flour moth,1,Mediterranean flour moth IgE Ab [Units/volume] in Serum
10939-7,Whiff,1,Whiff IgE Ab [Units/volume] in Serum
10940-5,Cow milk boiled,1,Cow milk boiled IgE Ab [Units/volume] in Serum
10941-3,Milk powder,1,Milk powder IgE Ab [Units/volume] in Serum
10942-1,Cockspur,1,Cockspur IgE Ab [Units/volume] in Serum
10943-9,Mink epithelium,1,Mink epithelium IgE Ab [Units/volume] in Serum
10944-7,Octopus,1,Octopus IgE Ab [Units/volume] in Serum
10945-4,Papain,1,Papain IgE Ab [Units/volume] in Serum
10946-2,Passion fruit,1,Passion fruit IgE Ab [Units/volume] in Serum
10947-0,Persimmon,1,Persimmon IgE Ab [Units/volume] in Serum
10948-8,Pigeon feather,1,Pigeon feather IgE Ab [Units/volume] in Serum
10949-6,Malassezia furfur,1,Malassezia furfur IgE Ab [Units/volume] in Serum
